extrap,direction,behavioral,dir_heading_vs_gap,dir_overall_vs_overall,beh_median_velocity,beh_pause_fraction,beh_mean_turning_angle,beh_mean_angular_velocity,beh_mean_acceleration,beh_n_large_displacements,beh_tortuosity,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.0,0.2,0.8,1,0,0,0,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,0,1,0,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,0,1,1,1,21.0,205.5625,23,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,0,0,0,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,0,1,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,1,0,0,19.0,208.78787878787878,25,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,1,0,1,21.0,205.5625,23,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,0,0,1,1,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,0,0,0,20.0,207.2,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,0,0,1,20.0,207.2,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,0,1,1,20.0,207.2,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,1,0,1,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,0,1,1,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,0,1,0,20.0,207.2,19,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,0,1,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,0,1,0,20.0,207.2,18,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,0,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,0,1,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,1,0,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,1,1,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,0,0,1,1,1,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,0,1,0,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,1,0,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,0,1,1,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,0,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,0,0,0,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,0,1,0,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,0,1,0,1,1,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,0,1,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,0,0,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,0,1,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,1,0,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,1,1,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,0,1,1,1,1,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,0,1,0,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,1,0,1,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,0,1,1,1,19.0,208.78787878787878,25,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,0,0,0,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,0,1,0,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,1,0,0,19.0,208.78787878787878,25,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,1,0,1,19.0,208.78787878787878,25,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,0,0,1,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,0,0,0,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,0,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,1,0,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,0,1,1,1,21.0,205.5625,23,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,0,0,0,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,0,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,0,1,0,20.0,207.2,19,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,1,0,0,19.0,208.78787878787878,25,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,1,0,1,21.0,205.5625,23,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,0,1,1,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,0,0,0,19.0,208.78787878787878,19,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,0,1,1,20.0,207.2,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,1,0,1,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,0,1,1,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,0,1,0,20.0,207.2,19,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,1,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,0,1,0,20.0,207.2,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,0,1,0,20.0,207.2,19,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,1,0,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,0,1,1,1,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,0,1,0,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,1,0,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,0,1,1,1,20.0,207.2,22,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,0,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,0,1,0,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.2,0.8,1,1,1,0,1,1,1,1,1,21.0,205.5625,22,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,0,0,0,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,0,1,0,20.0,207.2,19,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,0,0,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,0,1,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,1,1,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,1,1,0,1,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,0,0,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,0,1,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,0,1,1,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,1,1,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,0,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,0,0,0,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,0,0,1,21.0,205.5625,18,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,0,1,0,21.0,205.5625,17,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,0,1,1,21.0,205.5625,16,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,1,0,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,1,1,0,19.0,208.78787878787878,22,10.590693732875856
0.0,0.2,0.8,1,1,1,1,1,1,1,1,1,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,0,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,0,1,0,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,0,1,1,20.0,207.2,18,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,1,0,1,19.0,208.78787878787878,24,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,1,1,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,0,1,1,1,20.0,207.2,22,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,0,0,0,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,0,1,0,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,0,1,1,21.0,205.5625,18,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,1,0,1,20.0,207.2,21,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,0,0,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,0,0,0,21.0,205.5625,21,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,0,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,0,1,0,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,0,1,1,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,1,0,1,21.0,205.5625,20,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,0,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,0,0,0,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,0,0,1,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,0,1,0,21.0,205.5625,18,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,0,1,1,21.0,205.5625,19,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,1,0,0,19.0,208.78787878787878,24,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,1,0,1,21.0,205.5625,21,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,0,1,1,1,1,1,21.0,205.5625,21,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,0,0,0,20.0,207.2,19,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,0,1,1,20.0,207.2,18,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,1,0,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,1,0,1,20.0,207.2,22,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,1,1,0,19.0,208.78787878787878,23,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,0,1,1,1,20.0,207.2,21,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,1,0,0,0,21.0,205.5625,17,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,1,0,0,1,21.0,205.5625,17,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,1,0,1,0,20.0,207.2,20,10.590693732875856
0.0,0.4,0.6,0,1,0,1,0,1,0,1,1,21.0,205.5625,17,10.590693732875856
