w_under,w_over,extrap,direction,behavioral,dir_heading_vs_gap,dir_overall_vs_overall,beh_median_velocity,beh_pause_fraction,beh_mean_turning_angle,beh_mean_angular_velocity,beh_mean_acceleration,beh_n_large_displacements,beh_tortuosity,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,0,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,0,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,0,1,1,1,1,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,1,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,1,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,1,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,0,1,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,0,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,1,0,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,1,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,0,1,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,0,1,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,0,0,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,0,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,0,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,1,0,0,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,1,0,1,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,1,1,0,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,0,1,1,1,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,0,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,0,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,0,1,1,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,1,0,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,1,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,0,1,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,0,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,0,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,0,1,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,0,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,0,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,0,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,0,1,1,1,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,1,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,1,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,1,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,0,1,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,0,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,0,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,0,1,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,0,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,0,0,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,0,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,0,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,1,0,0,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,1,0,1,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,1,1,0,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,0,1,1,1,6.0,301.975,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,0,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,0,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,0,0,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,0,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,0,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,0,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,1,0,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,1,0,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,1,1,0,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,0,1,1,1,1,1,1,7.0,310.2926829268293,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,0,0,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,0,1,1,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,1,0,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,1,1,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,0,1,1,1,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,0,1,1,1,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,0,0,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,0,0,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,0,1,0,4.0,284.0263157894737,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,0,1,1,5.0,293.2307692307692,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,1,0,0,5.0,293.2307692307692,3,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,1,0,1,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,1,1,0,6.0,301.975,4,6.30294505810989
1.0,0.5,0.0,0.2,0.8,1,1,1,0,1,0,1,1,1,6.0,301.975,4,6.30294505810989
