extrap,direction,behavioral,dir_heading_vs_gap,dir_overall_vs_overall,beh_median_velocity,beh_pause_fraction,beh_mean_turning_angle,beh_mean_angular_velocity,beh_mean_acceleration,beh_n_large_displacements,beh_tortuosity,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.4,0.4,0.2,1,1,1,1,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.4,0.4,0.2,1,1,1,1,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.6,0.0,0,1,0,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.6,0.0,1,0,0,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.4,0.6,0.0,1,1,0,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,0,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,0,1,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,0,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.0,0.4,0,1,1,1,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,0,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,0,1,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,0,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,0,1,1,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,1,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,1,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,1,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,0,1,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,1,0,0,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,1,0,0,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,1,0,1,0,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,1,0,1,1,14.0,166.59259259259258,2,6.272186171268201
0.6,0.2,0.2,0,1,1,1,0,1,1,0,0,14.0,166.59259259259258,2,6.272186171268201
